ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 34120, progress = 12
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 34120, progress = 12
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 39600, progress = 14
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 39600, progress = 14
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 42340, progress = 15
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 42340, progress = 15
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 46450, progress = 16
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 46450, progress = 16
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 49190, progress = 17
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 49190, progress = 17
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 51930, progress = 18
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 51930, progress = 18
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 56040, progress = 20
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 56040, progress = 20
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 64260, progress = 23
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 64260, progress = 23
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 68370, progress = 24
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 68370, progress = 24
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 72480, progress = 26
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 72480, progress = 26
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 76302, progress = 27
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 76302, progress = 27
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 77672, progress = 28
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 77672, progress = 28
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 83152, progress = 30
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 83152, progress = 30
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 87262, progress = 31
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 87262, progress = 31
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 95482, progress = 34
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 95482, progress = 34
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 96852, progress = 35
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 96852, progress = 35
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 100962, progress = 36
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 100962, progress = 36
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 102332, progress = 37
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 102332, progress = 37
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 105072, progress = 38
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 105072, progress = 38
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 116032, progress = 42
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 116032, progress = 42
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 125622, progress = 45
